CAPITALINE CODE,CO_NAME,[Date,[Close Price
23,Apollo Tyres,6/21/2023,419.35
23,Apollo Tyres,6/22/2023,415.1
23,Apollo Tyres,6/23/2023,416.1
23,Apollo Tyres,6/26/2023,403.9
23,Apollo Tyres,6/27/2023,398.95
23,Apollo Tyres,6/28/2023,407.9
23,Apollo Tyres,6/30/2023,406.7
23,Apollo Tyres,7/3/2023,397.1
23,Apollo Tyres,7/4/2023,397.25
23,Apollo Tyres,7/5/2023,399.1
23,Apollo Tyres,7/6/2023,411.15
23,Apollo Tyres,7/7/2023,418.2
23,Apollo Tyres,7/10/2023,428.95
23,Apollo Tyres,7/11/2023,433.2
23,Apollo Tyres,7/12/2023,432.7
23,Apollo Tyres,7/13/2023,424.1
23,Apollo Tyres,7/14/2023,415.9
23,Apollo Tyres,7/17/2023,416
23,Apollo Tyres,7/18/2023,419.85
23,Apollo Tyres,7/19/2023,419.6
23,Apollo Tyres,7/20/2023,419.25
23,Apollo Tyres,7/21/2023,418.25
23,Apollo Tyres,7/24/2023,414.55
23,Apollo Tyres,7/25/2023,419.95
23,Apollo Tyres,7/26/2023,425.4
23,Apollo Tyres,7/27/2023,419.7
23,Apollo Tyres,7/28/2023,424.1
23,Apollo Tyres,7/31/2023,432.75
23,Apollo Tyres,8/1/2023,427.25
23,Apollo Tyres,8/2/2023,424.5
23,Apollo Tyres,8/3/2023,431.45
23,Apollo Tyres,8/4/2023,437.4
23,Apollo Tyres,8/7/2023,434.9
23,Apollo Tyres,8/8/2023,438.1
23,Apollo Tyres,8/9/2023,438.65
23,Apollo Tyres,8/10/2023,431.4
23,Apollo Tyres,8/11/2023,396.3
23,Apollo Tyres,8/14/2023,399.7
23,Apollo Tyres,8/16/2023,396.3
23,Apollo Tyres,8/17/2023,391.75
23,Apollo Tyres,8/18/2023,391.45
23,Apollo Tyres,8/21/2023,398.6
23,Apollo Tyres,8/22/2023,394.05
23,Apollo Tyres,8/23/2023,393.4
23,Apollo Tyres,8/24/2023,395.15
23,Apollo Tyres,8/25/2023,389.1
23,Apollo Tyres,8/28/2023,391.65
23,Apollo Tyres,8/29/2023,389.65
23,Apollo Tyres,8/30/2023,390.9
23,Apollo Tyres,8/31/2023,388.45
23,Apollo Tyres,9/1/2023,385
23,Apollo Tyres,9/4/2023,389.9
23,Apollo Tyres,9/5/2023,383.45
23,Apollo Tyres,9/6/2023,381.9
23,Apollo Tyres,9/7/2023,384.1
23,Apollo Tyres,9/8/2023,381.65
23,Apollo Tyres,9/11/2023,383.5
23,Apollo Tyres,9/12/2023,381.1
23,Apollo Tyres,9/13/2023,385
23,Apollo Tyres,9/14/2023,382.25
23,Apollo Tyres,9/15/2023,376.3
23,Apollo Tyres,9/18/2023,372.85
23,Apollo Tyres,9/20/2023,378.9
23,Apollo Tyres,9/21/2023,369.7
23,Apollo Tyres,9/22/2023,371.8
23,Apollo Tyres,9/25/2023,377.4
23,Apollo Tyres,9/26/2023,370.55
23,Apollo Tyres,9/27/2023,376.6
23,Apollo Tyres,9/28/2023,367.2
23,Apollo Tyres,9/29/2023,368.75
23,Apollo Tyres,10/3/2023,371.85
23,Apollo Tyres,10/4/2023,370.35
23,Apollo Tyres,10/5/2023,373.05
23,Apollo Tyres,10/6/2023,380.4
23,Apollo Tyres,10/9/2023,370.9
23,Apollo Tyres,10/10/2023,375.7
23,Apollo Tyres,10/11/2023,378.05
23,Apollo Tyres,10/12/2023,379.25
23,Apollo Tyres,10/13/2023,381.45
23,Apollo Tyres,10/16/2023,380.45
23,Apollo Tyres,10/17/2023,389.95
23,Apollo Tyres,10/18/2023,382.7
23,Apollo Tyres,10/19/2023,385
23,Apollo Tyres,10/20/2023,383.55
23,Apollo Tyres,10/23/2023,375.05
23,Apollo Tyres,10/25/2023,374.8
23,Apollo Tyres,10/26/2023,370.15
23,Apollo Tyres,10/27/2023,375.55
23,Apollo Tyres,10/30/2023,374.05
23,Apollo Tyres,10/31/2023,381.6
23,Apollo Tyres,11/1/2023,380.65
23,Apollo Tyres,11/2/2023,387.4
23,Apollo Tyres,11/3/2023,384.2
23,Apollo Tyres,11/6/2023,393.1
23,Apollo Tyres,11/7/2023,385.3
23,Apollo Tyres,11/8/2023,410.15
23,Apollo Tyres,11/9/2023,417.65
23,Apollo Tyres,11/10/2023,418.7
23,Apollo Tyres,11/12/2023,419.15
23,Apollo Tyres,11/13/2023,415.35
23,Apollo Tyres,11/15/2023,428.35
23,Apollo Tyres,11/16/2023,427.75
23,Apollo Tyres,11/17/2023,431
23,Apollo Tyres,11/20/2023,425.6
23,Apollo Tyres,11/21/2023,424.45
23,Apollo Tyres,11/22/2023,420.9
23,Apollo Tyres,11/23/2023,420.9
23,Apollo Tyres,11/24/2023,414.7
23,Apollo Tyres,11/28/2023,422.75
23,Apollo Tyres,11/29/2023,425.9
23,Apollo Tyres,11/30/2023,427.5
23,Apollo Tyres,12/1/2023,442.3
23,Apollo Tyres,12/4/2023,449.45
23,Apollo Tyres,12/5/2023,458.35
23,Apollo Tyres,12/6/2023,461.85
23,Apollo Tyres,12/7/2023,455.4
23,Apollo Tyres,12/8/2023,458.35
23,Apollo Tyres,12/11/2023,450.3
23,Apollo Tyres,12/12/2023,450.15
23,Apollo Tyres,12/13/2023,445.4
23,Apollo Tyres,12/14/2023,452.45
23,Apollo Tyres,12/15/2023,450.7
23,Apollo Tyres,12/18/2023,452.85
23,Apollo Tyres,12/19/2023,455.35
23,Apollo Tyres,12/20/2023,431.35
23,Apollo Tyres,12/21/2023,430.3
23,Apollo Tyres,12/22/2023,427.5
23,Apollo Tyres,12/26/2023,430.35
23,Apollo Tyres,12/27/2023,435.7
23,Apollo Tyres,12/28/2023,439.25
23,Apollo Tyres,12/29/2023,453.9
23,Apollo Tyres,1/1/2024,452.55
23,Apollo Tyres,1/2/2024,456.55
23,Apollo Tyres,1/3/2024,457.3
23,Apollo Tyres,1/4/2024,448.85
23,Apollo Tyres,1/5/2024,460.85
23,Apollo Tyres,1/8/2024,454.5
23,Apollo Tyres,1/9/2024,468.35
23,Apollo Tyres,1/10/2024,466.65
23,Apollo Tyres,1/11/2024,468.75
23,Apollo Tyres,1/12/2024,468.8
23,Apollo Tyres,1/15/2024,472
23,Apollo Tyres,1/16/2024,472.6
23,Apollo Tyres,1/17/2024,471.7
23,Apollo Tyres,1/18/2024,500.3
23,Apollo Tyres,1/19/2024,503.55
23,Apollo Tyres,1/20/2024,524.85
23,Apollo Tyres,1/23/2024,510.55
23,Apollo Tyres,1/24/2024,525.7
23,Apollo Tyres,1/25/2024,517.6
23,Apollo Tyres,1/29/2024,528
23,Apollo Tyres,1/30/2024,531.85
23,Apollo Tyres,1/31/2024,540.45
23,Apollo Tyres,2/1/2024,533.9
23,Apollo Tyres,2/2/2024,540.05
23,Apollo Tyres,2/5/2024,545.3
23,Apollo Tyres,2/6/2024,553.3
23,Apollo Tyres,2/7/2024,552.25
23,Apollo Tyres,2/8/2024,538.7
23,Apollo Tyres,2/9/2024,509.9
23,Apollo Tyres,2/12/2024,512.75
23,Apollo Tyres,2/13/2024,510.85
23,Apollo Tyres,2/14/2024,518.15
23,Apollo Tyres,2/15/2024,520.7
23,Apollo Tyres,2/16/2024,528.35
23,Apollo Tyres,2/19/2024,531.7
23,Apollo Tyres,2/20/2024,518.2
23,Apollo Tyres,2/21/2024,516.2
23,Apollo Tyres,2/22/2024,522.85
23,Apollo Tyres,2/23/2024,523.15
23,Apollo Tyres,2/26/2024,526.2
23,Apollo Tyres,2/27/2024,517.9
23,Apollo Tyres,2/28/2024,506.95
23,Apollo Tyres,2/29/2024,518.4
23,Apollo Tyres,3/1/2024,529.65
23,Apollo Tyres,3/2/2024,530.8
23,Apollo Tyres,3/4/2024,534.95
23,Apollo Tyres,3/5/2024,541.85
23,Apollo Tyres,3/6/2024,535.35
23,Apollo Tyres,3/7/2024,516.9
23,Apollo Tyres,3/11/2024,510.75
23,Apollo Tyres,3/12/2024,507.1
23,Apollo Tyres,3/13/2024,492.35
23,Apollo Tyres,3/14/2024,502.85
23,Apollo Tyres,3/15/2024,473.05
23,Apollo Tyres,3/18/2024,458.25
23,Apollo Tyres,3/19/2024,454.65
23,Apollo Tyres,3/20/2024,452.65
23,Apollo Tyres,3/21/2024,461.25
23,Apollo Tyres,3/22/2024,468.05
23,Apollo Tyres,3/26/2024,471.4
23,Apollo Tyres,3/27/2024,467.7
23,Apollo Tyres,3/28/2024,466.2
23,Apollo Tyres,4/1/2024,465.4
23,Apollo Tyres,4/2/2024,470.7
23,Apollo Tyres,4/3/2024,468.7
23,Apollo Tyres,4/4/2024,459.85
23,Apollo Tyres,4/5/2024,468.4
23,Apollo Tyres,4/8/2024,469.7
23,Apollo Tyres,4/9/2024,469.75
23,Apollo Tyres,4/10/2024,488.6
23,Apollo Tyres,4/12/2024,482.05
23,Apollo Tyres,4/15/2024,474.1
23,Apollo Tyres,4/16/2024,478.05
23,Apollo Tyres,4/18/2024,473.6
23,Apollo Tyres,4/19/2024,473.55
23,Apollo Tyres,4/22/2024,480.1
23,Apollo Tyres,4/23/2024,486.35
23,Apollo Tyres,4/24/2024,486.7
23,Apollo Tyres,4/25/2024,498.25
23,Apollo Tyres,4/26/2024,492.55
23,Apollo Tyres,4/29/2024,494.35
23,Apollo Tyres,4/30/2024,509.55
23,Apollo Tyres,5/2/2024,513
23,Apollo Tyres,5/3/2024,502.65
23,Apollo Tyres,5/6/2024,482.75
23,Apollo Tyres,5/7/2024,478.75
23,Apollo Tyres,5/8/2024,479.35
23,Apollo Tyres,5/9/2024,478.3
23,Apollo Tyres,5/10/2024,481
23,Apollo Tyres,5/13/2024,478.4
23,Apollo Tyres,5/14/2024,474.15
23,Apollo Tyres,5/15/2024,474.05
23,Apollo Tyres,5/16/2024,488.05
23,Apollo Tyres,5/17/2024,489.45
23,Apollo Tyres,5/18/2024,492.45
23,Apollo Tyres,5/21/2024,482.15
23,Apollo Tyres,5/22/2024,490.75
23,Apollo Tyres,5/23/2024,483.5
23,Apollo Tyres,5/24/2024,481.2
23,Apollo Tyres,5/27/2024,477
23,Apollo Tyres,5/28/2024,473.75
23,Apollo Tyres,5/29/2024,470.9
23,Apollo Tyres,5/30/2024,467.35
23,Apollo Tyres,5/31/2024,463.7
23,Apollo Tyres,6/3/2024,476.6
23,Apollo Tyres,6/4/2024,451.25
23,Apollo Tyres,6/5/2024,470.3
23,Apollo Tyres,6/6/2024,471
23,Apollo Tyres,6/7/2024,485
23,Apollo Tyres,6/10/2024,486.7
23,Apollo Tyres,6/11/2024,481.45
23,Apollo Tyres,6/12/2024,477.85
23,Apollo Tyres,6/13/2024,476.75
23,Apollo Tyres,6/14/2024,476.35
23,Apollo Tyres,6/18/2024,484.7
23,Apollo Tyres,6/19/2024,484.95
23,Apollo Tyres,6/20/2024,493.95
23,Apollo Tyres,6/21/2024,502
23,Apollo Tyres,6/24/2024,499.1
23,Apollo Tyres,6/25/2024,519.3
23,Apollo Tyres,6/26/2024,517.55
23,Apollo Tyres,6/27/2024,517.2
23,Apollo Tyres,6/28/2024,542.3
23,Apollo Tyres,7/1/2024,545.65
23,Apollo Tyres,7/2/2024,535.55
23,Apollo Tyres,7/3/2024,534.55
23,Apollo Tyres,7/4/2024,528.35
23,Apollo Tyres,7/5/2024,524.25
23,Apollo Tyres,7/8/2024,522.3
23,Apollo Tyres,7/9/2024,536.95
23,Apollo Tyres,7/10/2024,527.95
23,Apollo Tyres,7/11/2024,526.25
23,Apollo Tyres,7/12/2024,518.95
23,Apollo Tyres,7/15/2024,539.75
23,Apollo Tyres,7/16/2024,550.25
23,Apollo Tyres,7/18/2024,549.85
23,Apollo Tyres,7/19/2024,524.45
23,Apollo Tyres,7/22/2024,525.65
23,Apollo Tyres,7/23/2024,518.45
23,Apollo Tyres,7/24/2024,539.25
23,Apollo Tyres,7/25/2024,537.1
23,Apollo Tyres,7/26/2024,550.35
23,Apollo Tyres,7/29/2024,551.85
23,Apollo Tyres,7/30/2024,559.2
23,Apollo Tyres,7/31/2024,555.8
23,Apollo Tyres,8/1/2024,551.35
23,Apollo Tyres,8/2/2024,536.8
23,Apollo Tyres,8/5/2024,522.05
23,Apollo Tyres,8/6/2024,515.4
23,Apollo Tyres,8/7/2024,520.75
23,Apollo Tyres,8/8/2024,512
23,Apollo Tyres,8/9/2024,492.05
23,Apollo Tyres,8/12/2024,493.1
23,Apollo Tyres,8/13/2024,486.3
23,Apollo Tyres,8/14/2024,486.55
23,Apollo Tyres,8/16/2024,485.05
23,Apollo Tyres,8/19/2024,482.85
23,Apollo Tyres,8/20/2024,499.2
23,Apollo Tyres,8/21/2024,506.05
23,Apollo Tyres,8/22/2024,507.55
23,Apollo Tyres,8/23/2024,508.5
23,Apollo Tyres,8/26/2024,502.85
23,Apollo Tyres,8/27/2024,503.95
23,Apollo Tyres,8/28/2024,497.65
23,Apollo Tyres,8/29/2024,492.8
23,Apollo Tyres,8/30/2024,493.05
23,Apollo Tyres,9/2/2024,498.85
23,Apollo Tyres,9/3/2024,502.8
23,Apollo Tyres,9/4/2024,508.4
23,Apollo Tyres,9/5/2024,512.05
23,Apollo Tyres,9/6/2024,507
23,Apollo Tyres,9/9/2024,512.45
23,Apollo Tyres,9/10/2024,518.15
23,Apollo Tyres,9/11/2024,523.45
23,Apollo Tyres,9/12/2024,517.65
23,Apollo Tyres,9/13/2024,526.85
23,Apollo Tyres,9/16/2024,526.65
23,Apollo Tyres,9/17/2024,518.2
23,Apollo Tyres,9/18/2024,511.05
23,Apollo Tyres,9/19/2024,518.6
23,Apollo Tyres,9/20/2024,515.25
23,Apollo Tyres,9/23/2024,520.05
23,Apollo Tyres,9/24/2024,528.9
23,Apollo Tyres,9/25/2024,544.1
23,Apollo Tyres,9/26/2024,561.1
23,Apollo Tyres,9/27/2024,546.55
23,Apollo Tyres,9/30/2024,547.8
23,Apollo Tyres,10/1/2024,550.8
23,Apollo Tyres,10/3/2024,525.75
23,Apollo Tyres,10/4/2024,511.65
23,Apollo Tyres,10/7/2024,501.5
23,Apollo Tyres,10/8/2024,508.6
23,Apollo Tyres,10/9/2024,507.35
23,Apollo Tyres,10/10/2024,506.1
23,Apollo Tyres,10/11/2024,505.15
23,Apollo Tyres,10/14/2024,503.7
23,Apollo Tyres,10/15/2024,515.25
23,Apollo Tyres,10/16/2024,519.3
23,Apollo Tyres,10/17/2024,504.55
23,Apollo Tyres,10/18/2024,505.65
23,Apollo Tyres,10/21/2024,509.1
23,Apollo Tyres,10/22/2024,496.7
23,Apollo Tyres,10/23/2024,493.45
23,Apollo Tyres,10/24/2024,487.05
23,Apollo Tyres,10/25/2024,481.1
23,Apollo Tyres,10/28/2024,486.1
23,Apollo Tyres,10/29/2024,498.95
23,Apollo Tyres,10/30/2024,497.4
23,Apollo Tyres,10/31/2024,505.05
23,Apollo Tyres,11/1/2024,503.35
23,Apollo Tyres,11/4/2024,483.75
23,Apollo Tyres,11/5/2024,482.85
23,Apollo Tyres,11/6/2024,490.5
23,Apollo Tyres,11/7/2024,497.4
23,Apollo Tyres,11/8/2024,490.8
23,Apollo Tyres,11/11/2024,483.15
23,Apollo Tyres,11/12/2024,471.4
23,Apollo Tyres,11/13/2024,456.35
23,Apollo Tyres,11/14/2024,475.4
23,Apollo Tyres,11/18/2024,472.15
23,Apollo Tyres,11/19/2024,486.75
23,Apollo Tyres,11/21/2024,481.95
23,Apollo Tyres,11/22/2024,494.7
23,Apollo Tyres,11/25/2024,503.9
23,Apollo Tyres,11/26/2024,519.5
23,Apollo Tyres,11/27/2024,512.95
23,Apollo Tyres,11/28/2024,510.3
23,Apollo Tyres,11/29/2024,509.85
23,Apollo Tyres,12/2/2024,513.3
23,Apollo Tyres,12/3/2024,521.3
23,Apollo Tyres,12/4/2024,535.7
23,Apollo Tyres,12/5/2024,540.75
23,Apollo Tyres,12/6/2024,541.35
23,Apollo Tyres,12/9/2024,549.6
23,Apollo Tyres,12/10/2024,541.4
23,Apollo Tyres,12/11/2024,541.45
23,Apollo Tyres,12/12/2024,541
23,Apollo Tyres,12/13/2024,547.65
23,Apollo Tyres,12/16/2024,540.1
23,Apollo Tyres,12/17/2024,532.5
23,Apollo Tyres,12/18/2024,530.5
23,Apollo Tyres,12/19/2024,530.3
23,Apollo Tyres,12/20/2024,532.1
23,Apollo Tyres,12/23/2024,532
23,Apollo Tyres,12/24/2024,535.1
23,Apollo Tyres,12/26/2024,542.45
23,Apollo Tyres,12/27/2024,538.5
23,Apollo Tyres,12/30/2024,537.05
23,Apollo Tyres,12/31/2024,529.55
23,Apollo Tyres,1/1/2025,527.35
23,Apollo Tyres,1/2/2025,526.2
23,Apollo Tyres,1/3/2025,511.9
23,Apollo Tyres,1/6/2025,500.5
23,Apollo Tyres,1/7/2025,498.1
23,Apollo Tyres,1/8/2025,483.05
23,Apollo Tyres,1/9/2025,475.9
23,Apollo Tyres,1/10/2025,461.9
23,Apollo Tyres,1/13/2025,443.25
23,Apollo Tyres,1/14/2025,452.9
23,Apollo Tyres,1/15/2025,454.75
23,Apollo Tyres,1/16/2025,455.75
23,Apollo Tyres,1/17/2025,453.05
23,Apollo Tyres,1/20/2025,451.55
23,Apollo Tyres,1/21/2025,447.7
23,Apollo Tyres,1/22/2025,439.35
23,Apollo Tyres,1/23/2025,438.9
23,Apollo Tyres,1/24/2025,423.6
23,Apollo Tyres,1/27/2025,419.4
23,Apollo Tyres,1/28/2025,422.7
23,Apollo Tyres,1/29/2025,423.95
23,Apollo Tyres,1/30/2025,432.7
23,Apollo Tyres,1/31/2025,437.05
23,Apollo Tyres,2/1/2025,426.7
23,Apollo Tyres,2/3/2025,414.45
23,Apollo Tyres,2/4/2025,421.7
23,Apollo Tyres,2/5/2025,420.15
23,Apollo Tyres,2/6/2025,416.3
23,Apollo Tyres,2/7/2025,426.2
23,Apollo Tyres,2/10/2025,422.55
23,Apollo Tyres,2/11/2025,417.45
23,Apollo Tyres,2/12/2025,412.85
23,Apollo Tyres,2/13/2025,420.65
23,Apollo Tyres,2/14/2025,413.2
23,Apollo Tyres,2/17/2025,416.35
23,Apollo Tyres,2/18/2025,412.65
23,Apollo Tyres,2/19/2025,413.4
23,Apollo Tyres,2/20/2025,418.4
23,Apollo Tyres,2/21/2025,408.9
23,Apollo Tyres,2/24/2025,401.3
23,Apollo Tyres,2/25/2025,398.75
23,Apollo Tyres,2/27/2025,390
23,Apollo Tyres,2/28/2025,374.35
23,Apollo Tyres,3/3/2025,387.45
23,Apollo Tyres,3/4/2025,378.65
23,Apollo Tyres,3/5/2025,389.9
23,Apollo Tyres,3/6/2025,400.9
23,Apollo Tyres,3/7/2025,411.55
23,Apollo Tyres,3/10/2025,408
23,Apollo Tyres,3/11/2025,402.15
23,Apollo Tyres,3/12/2025,407.05
23,Apollo Tyres,3/13/2025,400.8
23,Apollo Tyres,3/17/2025,402.5
23,Apollo Tyres,3/18/2025,410.25
23,Apollo Tyres,3/19/2025,425.1
23,Apollo Tyres,3/20/2025,426.65
23,Apollo Tyres,3/21/2025,425.9
23,Apollo Tyres,3/24/2025,432.7
23,Apollo Tyres,3/25/2025,432.6
23,Apollo Tyres,3/26/2025,428.75
23,Apollo Tyres,3/27/2025,428.4
23,Apollo Tyres,3/28/2025,424.7
23,Apollo Tyres,4/1/2025,422.3
23,Apollo Tyres,4/2/2025,428.35
23,Apollo Tyres,4/3/2025,423.25
23,Apollo Tyres,4/4/2025,408.55
23,Apollo Tyres,4/7/2025,397.4
23,Apollo Tyres,4/8/2025,401.6
23,Apollo Tyres,4/9/2025,407.8
23,Apollo Tyres,4/11/2025,427.65
23,Apollo Tyres,4/15/2025,439.1
23,Apollo Tyres,4/16/2025,448.15
23,Apollo Tyres,4/17/2025,451.55
23,Apollo Tyres,4/21/2025,460.85
23,Apollo Tyres,4/22/2025,462.65
23,Apollo Tyres,4/23/2025,460.15
23,Apollo Tyres,4/24/2025,470.55
23,Apollo Tyres,4/25/2025,460.3
23,Apollo Tyres,4/28/2025,459.25
23,Apollo Tyres,4/29/2025,455.7
23,Apollo Tyres,4/30/2025,471.75
23,Apollo Tyres,5/2/2025,478.1
23,Apollo Tyres,5/5/2025,487.8
23,Apollo Tyres,5/6/2025,482.75
23,Apollo Tyres,5/7/2025,495.25
23,Apollo Tyres,5/8/2025,484.5
23,Apollo Tyres,5/9/2025,466.75
23,Apollo Tyres,5/12/2025,480.9
23,Apollo Tyres,5/13/2025,472.7
23,Apollo Tyres,5/14/2025,475.25
23,Apollo Tyres,5/15/2025,480.65
23,Apollo Tyres,5/16/2025,494.45
23,Apollo Tyres,5/19/2025,488.75
23,Apollo Tyres,5/20/2025,489.15
23,Apollo Tyres,5/21/2025,488.15
23,Apollo Tyres,5/22/2025,491.9
23,Apollo Tyres,5/23/2025,494.55
23,Apollo Tyres,5/26/2025,495.05
23,Apollo Tyres,5/27/2025,493.65
23,Apollo Tyres,5/28/2025,494.05
23,Apollo Tyres,5/29/2025,479.3
23,Apollo Tyres,5/30/2025,470.9
23,Apollo Tyres,6/2/2025,471.55
23,Apollo Tyres,6/3/2025,465.7
23,Apollo Tyres,6/4/2025,458.15
23,Apollo Tyres,6/5/2025,462.5
23,Apollo Tyres,6/6/2025,471.15
23,Apollo Tyres,6/9/2025,472.65
23,Apollo Tyres,6/10/2025,467.85
23,Apollo Tyres,6/11/2025,462.5
23,Apollo Tyres,6/12/2025,457.25
23,Apollo Tyres,6/13/2025,452.1
23,Apollo Tyres,6/16/2025,447.8
23,Apollo Tyres,6/17/2025,444.95
23,Apollo Tyres,6/18/2025,445.75
23,Apollo Tyres,6/19/2025,447.2
23,Apollo Tyres,6/20/2025,440.2
23,Apollo Tyres,6/23/2025,443.2
23,Apollo Tyres,6/24/2025,446.35
82,Blue Star,6/21/2023,799.85
82,Blue Star,6/22/2023,798.1
82,Blue Star,6/23/2023,785.15
82,Blue Star,6/26/2023,786.05
82,Blue Star,6/27/2023,779
82,Blue Star,6/28/2023,768.4
82,Blue Star,6/30/2023,767.35
82,Blue Star,7/3/2023,767.1
82,Blue Star,7/4/2023,773.8
82,Blue Star,7/5/2023,787.8
82,Blue Star,7/6/2023,789.85
82,Blue Star,7/7/2023,789.95
82,Blue Star,7/10/2023,790.1
82,Blue Star,7/11/2023,791.25
82,Blue Star,7/12/2023,784.3
82,Blue Star,7/13/2023,793.1
82,Blue Star,7/14/2023,792.65
82,Blue Star,7/17/2023,792.25
82,Blue Star,7/18/2023,788.85
82,Blue Star,7/19/2023,793.55
82,Blue Star,7/20/2023,791.9
82,Blue Star,7/21/2023,788.85
82,Blue Star,7/24/2023,785.25
82,Blue Star,7/25/2023,775.5
82,Blue Star,7/26/2023,779.7
82,Blue Star,7/27/2023,767.35
82,Blue Star,7/28/2023,765.45
82,Blue Star,7/31/2023,783.95
82,Blue Star,8/1/2023,783.7
82,Blue Star,8/2/2023,774.6
82,Blue Star,8/3/2023,768.3
82,Blue Star,8/4/2023,762.6
82,Blue Star,8/7/2023,735.25
82,Blue Star,8/8/2023,737.45
82,Blue Star,8/9/2023,745
82,Blue Star,8/10/2023,749.95
82,Blue Star,8/11/2023,743
82,Blue Star,8/14/2023,741.45
82,Blue Star,8/16/2023,742.2
82,Blue Star,8/17/2023,743.8
82,Blue Star,8/18/2023,748.8
82,Blue Star,8/21/2023,745.15
82,Blue Star,8/22/2023,730
82,Blue Star,8/23/2023,738.15
82,Blue Star,8/24/2023,729.3
82,Blue Star,8/25/2023,704.8
82,Blue Star,8/28/2023,728.4
82,Blue Star,8/29/2023,734.35
82,Blue Star,8/30/2023,741.45
82,Blue Star,8/31/2023,738.9
82,Blue Star,9/1/2023,745.15
82,Blue Star,9/4/2023,741.5
82,Blue Star,9/5/2023,741.05
82,Blue Star,9/6/2023,750.45
82,Blue Star,9/7/2023,794.05
82,Blue Star,9/8/2023,806.55
82,Blue Star,9/11/2023,805.15
82,Blue Star,9/12/2023,780.2
82,Blue Star,9/13/2023,796.65
82,Blue Star,9/14/2023,786.45
82,Blue Star,9/15/2023,795.65
82,Blue Star,9/18/2023,800
82,Blue Star,9/20/2023,907.05
82,Blue Star,9/21/2023,889.9
82,Blue Star,9/22/2023,896.25
82,Blue Star,9/25/2023,912.75
82,Blue Star,9/26/2023,896.95
82,Blue Star,9/27/2023,887.25
82,Blue Star,9/28/2023,894.4
82,Blue Star,9/29/2023,875.75
82,Blue Star,10/3/2023,885.05
82,Blue Star,10/4/2023,882.9
82,Blue Star,10/5/2023,876.65
82,Blue Star,10/6/2023,873.35
82,Blue Star,10/9/2023,871
82,Blue Star,10/10/2023,865.25
82,Blue Star,10/11/2023,882.45
82,Blue Star,10/12/2023,878.15
82,Blue Star,10/13/2023,874
82,Blue Star,10/16/2023,888.95
82,Blue Star,10/17/2023,910.45
82,Blue Star,10/18/2023,939.8
82,Blue Star,10/19/2023,945.2
82,Blue Star,10/20/2023,917.45
82,Blue Star,10/23/2023,884.3
82,Blue Star,10/25/2023,889.35
82,Blue Star,10/26/2023,864.15
82,Blue Star,10/27/2023,863.2
82,Blue Star,10/30/2023,873.6
82,Blue Star,10/31/2023,877.9
82,Blue Star,11/1/2023,932
82,Blue Star,11/2/2023,927.6
82,Blue Star,11/3/2023,972
82,Blue Star,11/6/2023,967.55
82,Blue Star,11/7/2023,957.4
82,Blue Star,11/8/2023,942.65
82,Blue Star,11/9/2023,921.9
82,Blue Star,11/10/2023,949.45
82,Blue Star,11/12/2023,951.55
82,Blue Star,11/13/2023,958
82,Blue Star,11/15/2023,967.55
82,Blue Star,11/16/2023,968.6
