Date,Astral,Blue Star,Britannia Inds.,Cera Sanitary.,CRISIL,eClerx Services,H.G. Infra Engg.,Ingersoll-Rand,ITC,KEI Industries,LTIMindtree,Nestle India,Persistent Sys,Ramkrishna Forg.,Tube Investments,UTI AMC,P I Industries,Akzo Nobel,Apollo Tyres,Kirloskar Oil,Safari Inds.,Godfrey Phillips,Wendt India,Narayana Hrudaya,Polycab India,AIA Engineering,Marksans Pharma,Nippon Life Ind.,Tata Elxsi,Elantas Beck,Praj Industries,Torrent Power,Dixon Technolog.,Finolex Cables,Titan Company,I O C L,Cummins India,Neuland Labs.,Vesuvius India,Time Technoplast,J B Chemicals &,NCC,Colgate-Palmoliv,Jyothy Labs,Mahanagar Gas,Dr Lal Pathlabs,TVS Motor Co.,Ganesha Ecosphe.,Shaily Engineer.,Thangamayil Jew.,Himadri Special,Natco Pharma,Uno Minda,Lumax Auto Tech.,S P Apparels,V-Guard Industri,Coromandel Inter,Gabriel India,EID Parry,Pidilite Inds.,Zydus Wellness,Kirl. Brothers,Radico Khaitan,Garware Tech.,CEAT,Aditya Vision,Nifty 500
2023-06-21,1985.3,799.85,5074.6,7970.15,3908.5,1734.35,859.0,3027.35,450.6,2244.4,4992.55,2285.025,2466.68,469.45,3169.75,685.4,3978.95,2449.95,419.35,415.7,1508.08,1706.1,9799.25,1050.35,3420.15,3346.7,94.76,254.65,7793.45,6482.35,385.7,660.4,4586.7,828.0,2969.75,91.98,1857.75,2869.75,232.99,119.7,1180.15,122.1,1653.15,215.85,1039.3,2229.35,1350.4,1081.35,325.21,746.76,135.2,624.45,587.0,351.25,452.25,262.95,942.25,187.15,477.95,2671.3,1501.55,594.1,1227.15,625.91,2061.0,153.72,16240.95
2023-06-22,1952.65,798.1,4990.1,7763.75,3825.95,1757.25,867.75,2949.25,423.38,2351.5,5022.35,2252.88,2428.15,456.3,3220.1,684.45,3863.8,2450.65,415.1,406.5,1495.0,1699.05,9770.95,1015.2,3485.65,3319.95,91.8,253.95,7669.35,6485.0,383.15,653.2,4445.95,822.7,2968.55,91.94,1845.4,2770.75,230.49,118.95,1195.15,122.5,1636.9,213.35,1037.6,2181.35,1325.6,1110.55,301.7,738.52,134.1,626.95,586.0,344.55,454.1,263.9,950.3,190.0,482.4,2636.25,1492.8,583.45,1218.2,625.34,2060.3,154.08,16140.8
2023-06-23,1929.3,785.15,4955.75,7687.7,3773.0,1689.75,861.25,2950.05,420.64,2339.8,4961.5,2251.14,2403.35,428.1,3336.35,683.45,3810.15,2453.9,416.1,392.1,1458.83,1677.45,9762.65,980.25,3427.0,3312.1,92.59,250.65,7481.6,6394.95,375.65,641.35,4327.2,812.1,2939.15,89.33,1850.5,2794.3,229.3,119.01,1154.3,119.4,1630.95,211.9,1017.1,2106.8,1301.7,1090.15,298.89,725.08,130.95,675.7,580.55,335.95,447.35,264.9,928.3,188.85,483.15,2656.75,1476.75,578.75,1194.8,624.71,2000.8,155.14,16011.8
2023-06-26,1943.05,786.05,4999.75,7630.65,3884.0,1751.4,858.25,2948.3,421.3,2242.0,5004.75,2262.8,2479.0,451.45,3196.1,694.15,3854.45,2433.25,403.9,391.95,1474.0,1624.85,9708.15,1010.55,3468.95,3324.85,91.11,256.3,7508.05,6376.8,370.0,631.9,4445.4,799.1,2972.55,89.57,1869.7,2864.95,227.09,117.77,1169.43,118.75,1667.05,216.1,1028.25,2168.25,1290.0,1116.55,297.41,721.11,132.1,695.85,584.6,338.45,445.45,274.8,936.3,187.7,473.85,2632.65,1492.8,608.65,1196.15,621.11,2057.55,164.99,16066.15
2023-06-27,1954.0,779.0,4955.2,7616.25,3868.1,1691.95,868.45,2944.7,421.11,2342.6,5166.6,2262.21,2444.13,459.8,3134.35,696.55,3837.6,2440.25,398.95,393.35,1465.63,1646.65,9872.55,1022.35,3475.0,3304.1,91.29,258.1,7544.15,6495.6,370.15,626.95,4390.3,783.8,2976.2,89.31,1881.25,2876.35,225.31,123.84,1166.4,120.9,1692.75,215.85,1044.35,2220.1,1305.25,1110.95,299.02,720.94,132.7,685.7,575.5,343.9,451.75,283.85,937.8,187.65,470.0,2620.35,1487.0,613.7,1228.75,616.25,2080.65,165.5,16163.5
2023-06-28,1980.8,768.4,4993.65,7695.75,3829.4,1684.45,870.25,2941.1,424.99,2319.8,5090.75,2273.67,2438.73,467.7,3147.35,724.75,3876.05,2436.05,407.9,384.7,1480.15,1642.7,9961.5,984.85,3616.4,3255.1,92.37,258.55,7575.6,6509.95,377.6,618.85,4360.9,800.25,3024.95,90.55,1912.25,2864.4,229.23,123.63,1173.73,120.45,1689.1,211.15,1034.5,2207.15,1328.55,1115.65,301.85,724.35,134.15,692.1,572.8,352.25,477.2,284.8,941.45,190.9,463.95,2598.85,1480.05,596.1,1212.1,620.48,2085.8,167.16,16277.2
2023-06-30,1983.15,762.6,5022.45,7647.75,3905.7,1711.2,854.85,2860.0,427.26,2316.95,5198.2,2288.3,2504.93,444.5,3171.85,784.8,3922.55,2430.7,406.7,391.2,1486.88,1687.15,10327.75,993.7,3552.15,3202.5,91.3,288.3,7584.05,6427.75,378.05,617.05,4389.9,858.7,3048.6,91.25,1942.6,2830.65,239.84,118.49,1183.15,122.1,1689.7,216.25,1048.75,2258.65,1324.95,1080.8,296.28,735.25,132.7,693.0,581.05,353.1,465.0,285.0,948.05,196.25,462.65,2597.65,1484.65,610.3,1206.1,621.04,2078.3,161.93,16430.0
2023-07-03,1964.3,767.1,5006.3,7638.25,3868.75,1646.85,865.3,2791.4,437.95,2295.75,5210.3,2262.92,2424.9,439.55,3182.1,784.45,3862.85,2445.35,397.1,397.55,1506.9,1696.05,10085.75,983.85,3524.1,3159.2,92.73,285.8,7547.3,6500.75,376.75,606.0,4357.5,858.5,3037.85,95.38,1888.7,2841.05,251.89,119.7,1181.4,121.75,1689.15,223.0,1080.8,2252.6,1318.4,1055.4,300.56,739.73,131.0,695.25,570.75,353.2,446.9,286.95,963.8,193.55,459.75,2571.35,1483.65,601.25,1277.9,627.1,2072.6,160.76,16527.95
2023-07-04,1924.25,773.8,5008.1,7663.65,3893.1,1640.35,861.3,2776.15,440.79,2327.55,5254.7,2262.27,2434.03,447.2,3170.65,781.35,3843.15,2426.6,397.25,403.6,1487.0,1705.8,10034.4,989.9,3508.7,3127.9,92.73,285.15,7512.6,6435.25,370.05,590.6,4359.1,840.7,3074.6,94.61,1855.5,2965.6,236.66,118.7,1175.85,120.95,1706.95,231.75,1071.5,2238.2,1303.0,1062.1,295.77,728.08,128.5,692.9,558.1,352.1,447.9,283.8,956.95,194.5,463.5,2573.25,1481.85,608.3,1328.55,630.2,2041.2,162.3,16556.05
2023-07-05,1869.65,787.8,5096.1,7627.5,3904.0,1615.2,871.75,2759.65,449.16,2328.55,5240.7,2288.2,2428.45,444.4,3157.7,809.75,3855.1,2483.15,399.1,399.75,1458.15,1738.6,10028.5,990.3,3551.6,3185.5,93.66,285.15,7548.55,6298.25,369.05,609.65,4205.75,839.0,3100.05,95.52,1875.75,3086.3,240.36,126.25,1151.33,123.0,1793.35,235.95,1079.8,2290.6,1320.8,1043.4,296.91,729.05,129.35,679.65,560.3,359.35,446.35,280.35,961.15,198.9,467.45,2610.05,1481.2,637.65,1358.65,631.76,2092.3,163.0,16597.2
